parent_fund,SUPPLEMENTAL_ID_1,Basket Shares
HRQP,EO.US.US.GOOGL..C342-5.20260220,-18
HRQP,EO.US.US.HOOD..C106.20260220,-15
HRQP,EO.US.US.HOOD..C110.20260220,-22
HRQP,EO.US.US.LLY..C1035.20260220,-5
HRQP,EO.US.US.LLY..C1060.20260220,-8
HRQP,EO.US.US.META..C635.20260220,-10
HRQP,EO.US.US.META..C685.20260220,-7
HRQP,EO.US.US.MSFT..C465.20260220,-16
HRQP,EO.US.US.MSFT..C490.20260220,-11
HRQP,EO.US.US.MSTR..C162-5.20260220,-12
HRQP,EO.US.US.MSTR..C175.20260220,-17
HRQP,EO.US.US.NFLX..C87.20260220,-39
HRQP,EO.US.US.NFLX..C90.20260220,-58
